diaObjectId,visit,band,flux,flux_err,diff_flux,diff_flux_err,expmid,mag,magerr
614435753623027782,2024120200333,u,49686.30078125,652.6339721679688,2180.530029296875,685.927001953125,60647.30382497108,19.659408569335938,0.014262199401855469
614435753623027782,2024120200325,g,105209.0,329.87298583984375,-25100.5,336.3420104980469,60647.29871251729,18.844867706298828,0.0034046173095703125
614435753623027782,2024120200326,g,104597.0,327.1000061035156,-25608.599609375,335.10198974609375,60647.299215243096,18.8512020111084,0.00339508056640625
614435753623027782,2024120200344,r,109597.0,367.36700439453125,-19101.400390625,374.84698486328125,60647.311318726905,18.800504684448242,0.00363922119140625
614435753623027782,2024120200334,u,49499.6015625,597.1110229492188,2104.169921875,631.208984375,60647.30449173614,19.663497924804688,0.013097763061523438
614435753623027782,2024120200335,u,46731.6015625,617.4240112304688,-96.93920135498047,655.6279907226562,60647.30509196191,19.725975036621094,0.014345169067382812
614435753623027782,2024120100446,g,94665.296875,321.4049987792969,-36545.0,328.3559875488281,60646.320948107634,18.959524154663086,0.0036869049072265625
614435753623027782,2024111900376,r,115779.0,402.8890075683594,-11965.0,410.5539855957031,60634.335898911944,18.740924835205078,0.0037784576416015625
614435753623027782,2024120100448,g,94792.296875,312.9419860839844,-36614.8984375,320.14801025390625,60646.32199997101,18.95806884765625,0.0035848617553710938
614435753623027782,2024111900365,y,114556.0,1390.0699462890625,-1422.0799560546875,1451.68994140625,60634.32788758094,18.752456665039062,0.01317596435546875
614435753623027782,2024120100457,u,44228.30078125,620.8930053710938,-3295.360107421875,650.9409790039062,60646.3280917361,19.785749435424805,0.015242576599121094
614435753623027782,2024120100451,u,46179.8984375,578.2860107421875,-1020.8900146484375,610.7379760742188,60646.32429940978,19.738868713378906,0.013596534729003906
614435753623027782,2024120700488,z,103833.0,668.8709716796875,-6465.919921875,687.7919921875,60652.31006570608,18.859161376953125,0.006993293762207031
614435753623027782,2024120700483,z,104849.0,766.1060180664062,-6828.3701171875,786.343994140625,60652.30810246529,18.848588943481445,0.007932662963867188
614435753623027782,2024120700485,z,104550.0,628.9169921875,-5128.14013671875,645.3660278320312,60652.30888714704,18.8516902923584,0.006531715393066406
614435753623027782,2024120700518,g,99837.3984375,326.62298583984375,-30927.0,331.5329895019531,60652.32253278927,18.90176773071289,0.003551483154296875
614435753623027782,2024120700511,z,102753.0,620.656982421875,-7748.18017578125,645.0960083007812,60652.31921410294,18.870513916015625,0.006558418273925781
614435753623027782,2024120700519,g,96839.5,331.4540100097656,-30418.400390625,339.6090087890625,60652.322934224576,18.93486976623535,0.00371551513671875
614435753623027782,2024120700492,z,104088.0,631.177978515625,-6096.35986328125,643.969970703125,60652.31163600697,18.85649871826172,0.00658416748046875
614435753623027782,2024120700493,z,103805.0,641.198974609375,-7354.77978515625,656.239990234375,60652.31215725691,18.859455108642578,0.00670623779296875
614435753623027782,2024120700462,r,107957.0,359.6409912109375,-19970.099609375,371.4930114746094,60652.29870346653,18.81687355041504,0.0036172866821289062
614435753623027782,2024120700463,g,95420.1015625,319.59100341796875,-35088.8984375,324.9110107421875,60652.29959551511,18.95090103149414,0.0036363601684570312
614435753623027782,2024120200373,u,49337.80078125,619.822998046875,1892.3599853515625,634.6890258789062,60647.3353047974,19.667051315307617,0.013641357421875
614435753623027782,2024120200375,u,48506.3984375,611.7009887695312,1000.3099975585938,629.0009765625,60647.33666413764,19.685503005981445,0.013693809509277344
614435753623027782,2024120700477,z,104673.0,612.385986328125,-6800.8798828125,627.5789794921875,60652.30572616318,18.850414276123047,0.006352424621582031
614435753623027782,2024120700478,z,104162.0,595.2160034179688,-7845.22021484375,614.625,60652.306117314736,18.855728149414062,0.0062046051025390625
614435753623027782,2024120700476,z,105078.0,633.0759887695312,-4949.490234375,650.5050048828125,60652.305335937584,18.846221923828125,0.006542205810546875
614435753623027782,2024120300087,g,101058.0,320.36199951171875,-29132.30078125,324.16900634765625,60648.14838123266,18.888572692871094,0.0034418106079101562
614435753623027782,2024120700470,z,107363.0,570.1630249023438,-2139.7900390625,588.8670043945312,60652.302969618046,18.822864532470703,0.0057659149169921875
614435753623027782,2024120700467,g,96315.203125,312.57598876953125,-34987.19921875,315.5580139160156,60652.30115872687,18.940763473510742,0.0035238265991210938
614435753623027782,2024120300078,i,115026.0,467.91900634765625,-16350.900390625,485.4179992675781,60648.143369646976,18.748010635375977,0.00441741943359375
614435753623027782,2024120300076,g,104700.0,348.9360046386719,-24615.900390625,352.4079895019531,60648.141790011636,18.850133895874023,0.0036182403564453125
614435753623027782,2024120300084,i,111604.0,411.2539978027344,-18603.80078125,427.0190124511719,60648.14636703134,18.78080177307129,0.004000663757324219
614435753623027782,2024120900462,g,153529.0,403.0830078125,24263.69921875,406.5360107421875,60654.328229982595,18.434524536132812,0.002849578857421875
614435753623027782,2024120700499,z,103624.0,753.6959838867188,-6709.93017578125,768.4840087890625,60652.31450471643,18.86134910583496,0.007897377014160156
614435753623027782,2024120700486,z,31361.80078125,507.5950012207031,-79289.5,534.4249877929688,60652.309280775444,20.158998489379883,0.01757526397705078
614435753623027782,2024120100453,u,45667.30078125,520.2030029296875,-1377.8399658203125,540.447998046875,60646.325509160815,19.750988006591797,0.012369155883789062
614435753623027782,2024120200328,g,104033.0,326.4949951171875,-25943.19921875,334.4219970703125,60647.300220682984,18.857072830200195,0.0034074783325195312
614435753623027782,2024120100461,g,95076.296875,313.5679931640625,-35545.30078125,319.65399169921875,60646.33113512724,18.95482063293457,0.0035800933837890625
614435753623027782,2024120200377,u,43310.1015625,472.3900146484375,-3437.1201171875,498.5580139160156,60647.3378685705,19.808528900146484,0.011841773986816406
614435753623027782,2024120200379,g,107681.0,328.7879943847656,-22424.099609375,334.05499267578125,60647.33965151629,18.819652557373047,0.0033159255981445312
614435753623027782,2024120200368,g,95552.0,301.6080017089844,-35203.0,306.9049987792969,60647.33170232062,18.94940185546875,0.0034265518188476562
614435753623027782,2024120200339,g,99437.6015625,318.4779968261719,-31682.599609375,325.7510070800781,60647.30821902771,18.906124114990234,0.0034770965576171875
614435753623027782,2024120300095,r,110583.0,358.8429870605469,-17537.400390625,381.593994140625,60648.15265262157,18.790781021118164,0.0035238265991210938
614435753623027782,2024120300096,r,108815.0,352.0780029296875,-19465.5,369.92401123046875,60648.15314777786,18.808279037475586,0.003513336181640625
614435753623027782,2024120300083,i,113262.0,416.0119934082031,-17334.099609375,430.16900634765625,60648.14589641194,18.764789581298828,0.003987312316894531
614435753623027782,2024111900360,y,116638.0,1392.510009765625,2068.919921875,1444.949951171875,60634.32478594904,18.732900619506836,0.012963294982910156
614435753623027782,2024111900358,y,115401.0,1442.31005859375,1186.8199462890625,1500.27001953125,60634.32354802654,18.744476318359375,0.013570785522460938
614435753623027782,2024111900364,y,111460.0,1402.18994140625,-2808.889892578125,1461.5400390625,60634.32730168407,18.782203674316406,0.013658523559570312
614435753623027782,2024120300101,r,109079.0,351.5450134277344,-19196.099609375,372.2359924316406,60648.155632598486,18.805648803710938,0.0034990310668945312
614435753623027782,2024121000508,g,95539.0,311.9939880371094,-36706.19921875,316.52801513671875,60655.29529809021,18.949548721313477,0.0035457611083984375
